year,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,mepv_civviol,mepv_civwar,mepv_regciv,mepv_actotal
1990,0.0,0.36500000000000005,0.5899871803014151,0.3,0.32749359015070756,0.44000000000000006,0.2453843542034496,0.36536089114609144,0.14130707106072807,0.5,0.1,0.8,0.3679666801399247,0.3726921771017248,0.6273078228982751,0.6273078228982751,0.3443918086852139,0.325,,,,,0.36536089114609144,0.19846625744955526,,0.16563443908732847,0.5729397067136971,0.0,0.0,0.1226403451236747,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,59.64494949281121,0.7526784760678688,0.24732152393213117,0.9924038765061041,0.5976578578923722,0.4872189966400854,1.0,1.9161166501160758,2.13878758806367,1.9161166501160758,1.116209489612287,1476.43160477311,7.94981943665461,,,40.1,30.6,16.3,5.9,10.4,15.2,22.0,46.4,16.3,57.7,6.54529307282414,4.48346758219995,0.629908672190098,,5.79086017608643,,1.83945658886675,0.0,0.011291437,6,5,-6.0,,0,0,0.0,0.0,23.0,0.0
1991,3.9130383664785766e-05,0.36500000000000005,0.5858902970560999,0.3,0.32542558333621757,0.44000000000000006,0.26251555072660593,0.4213940231487703,0.26386131955705217,0.5,0.1,0.8,0.43247697486755676,0.38125777536330296,0.618742224636697,0.618742224636697,0.39667204596982086,0.325,,,,,0.4213940231487703,0.22382367981975398,0.06392540797323525,0.17719799674045902,0.5512955295196181,0.020870601169204337,0.6741952806407644,0.13308478438746352,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,59.64494949281121,0.7526784760678688,0.24732152393213117,0.9924038765061041,0.5976578578923722,0.4872189966400854,1.0,1.9325704207771863,2.1562972985470146,1.9325704207771863,1.1157664814510904,1537.87916511306,3.90454530313198,15.935,30.375,40.42,30.82,16.16,5.86,10.3,15.1,21.96,46.699999999999996,16.52,56.5,8.19371509544085,4.01184006953312,0.959532828640878,,6.02747011184692,,1.83370852776507,0.001845,0.014368794,6,5,-6.0,,0,0,0.0,0.0,28.0,0.0
1992,9.576498577329033e-05,0.36500000000000005,0.49495681311581013,0.3,0.27993052406501845,0.44000000000000006,0.2793377699307347,0.39529136215645877,0.12267597610373965,0.5,0.1,0.8,0.36509275578405465,0.38966888496536733,0.6103311150346327,0.6103311150346327,0.32913244601385305,0.325,,,,,0.39529136215645877,0.24688144710140728,0.0700561964063634,0.18855299470324596,0.5465064926871449,0.10474329492944551,0.6904309306280838,0.13561888824198004,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,59.64494949281121,0.7526784760678688,0.24732152393213117,0.9924038765061041,0.5976578578923722,0.4872189966400854,1.0,1.9490999546979244,2.1737983832926426,1.9490999546979244,1.1152831736787672,1784.81850188268,7.80572887722397,15.598,30.073,40.74,31.04,16.02,5.82,10.200000000000001,15.0,21.92,47.0,16.74,54.3,5.82434514637906,3.42920376526506,3.39272296944754,,5.75488996505737,,1.70612587759433,0.00369,0.022425345,6,5,-6.0,,0,0,0.0,0.0,23.0,0.0
1993,0.00013409565222828886,0.4325,0.4834796014851046,0.3,0.30792275291643817,0.47000000000000003,0.3180260763275838,0.4139073145375443,0.24122639772464435,0.5,0.1,0.65,0.33566059939127424,0.40901303816379186,0.5909869618362081,0.5909869618362081,0.4202813400167127,0.325,,,,,0.4139073145375443,0.2540009887990569,0.016939942414208844,0.21466760152111908,0.5170387548038329,0.05867564113347717,0.687781074474239,0.1326300826216742,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9657024865324109,2.1912890821045554,1.9657024865324109,1.1147613116011719,1649.18537309075,2.18982886145824,15.948,30.691,41.06,31.26,15.88,5.78,10.1,14.899999999999999,21.88,47.3,16.96,53.2,3.9749563191613,3.05531032810378,3.84641742685117,,5.98376989364624,,1.73211395510226,0.005535,0.025275217,6,5,-3.0,,0,0,0.0,0.0,23.0,0.0
1994,0.00017771244645182962,0.4325,0.4906136167159237,0.3,0.31146795213473594,0.47000000000000003,0.25649436371044393,0.22881730337928763,0.34103705226314507,0.5,0.1,0.65,0.31249436132718567,0.378247181855222,0.621752818144778,0.621752818144778,0.4779561618758227,0.325,,,,,0.22881730337928763,0.24475947913522114,0.0,0.17313369550454966,0.5151745961200489,0.08730151990280519,0.69133150391897,0.10185156531015097,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,,,,,1733.46614673506,3.17841132209441,16.006,30.879,,,,,,,,,,54.8,4.73323063996595,4.02180300283281,2.763408718958,,6.17646980285645,,1.74212321164965,0.00738,0.029628764,6,5,-3.0,,0,0,0.0,0.0,23.0,0.0
1995,0.000252644151472643,0.23607142857142865,0.4924556081407619,0.3,0.21413719628035896,0.30928571428571433,0.39131468151568655,0.46620962337669347,0.4722309817124825,0.3571428571428572,0.1,0.65,0.483630831456744,0.44565734075784325,0.5543426592421568,0.44719980209929966,0.5106257026099277,0.325,,,,,0.46620962337669347,0.23210067490841707,0.0,0.26413741002308844,0.43558263481173093,0.16701708878723853,0.7011711462775273,0.21072790727372342,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9991156971221729,2.226232850304467,1.9991156971221729,1.1136088088894707,1968.16600944373,2.35166985086541,16.348,31.755,41.7,31.7,15.6,5.7,9.9,14.7,21.8,47.9,17.4,59.1,6.24415028747146,3.77066354176973,1.5305492758972,10.193625306419266,6.42975997924805,,1.74470758582503,0.0112,0.034269045,6,5,-3.0,4.0,0,0,0.0,0.0,18.0,0.0
1996,0.0006261383583425133,0.27535714285714274,0.5800000000000001,0.3,0.27736550224940015,0.34142857142857136,0.3761271900040745,0.4585189399028835,0.39870663242051085,0.3857142857142856,0.1,0.65,0.403700892825795,0.4380635950020373,0.5619364049979627,0.47622211928367697,0.480243042143172,0.325,,,,,0.4585189399028835,0.2352867247614953,0.006634244691729188,0.2538858532527503,0.5203753855021849,0.21431054195157295,0.7237064335171274,0.1886039176395496,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9922794801203632,2.2196034227033254,1.9922794801203632,1.1141024363555803,2107.40815649257,7.14608096782061,16.061,31.684,41.52,31.68,15.719999999999999,5.76,9.96,14.74,21.76,47.78,16.02,65.3,3.72514472690715,3.75531568691048,1.21680620022798,9.674704373685511,6.2878098487854,,1.86753522903203,0.0276,0.06892493,6,5,-3.0,4.1,0,0,0.0,0.0,17.0,0.0
1997,0.0009124859066323957,0.35392857142857137,0.47939601110312274,0.3,0.26620604831253086,0.40571428571428564,0.3670241749286976,0.40975542853873675,0.6013426050495064,0.44285714285714284,0.1,0.65,0.3795281004837257,0.43351208746434877,0.5664879125356512,0.5236307696785083,0.5741709054441544,0.325,,,,,0.40975542853873675,0.24498482383002929,0.016890613886177252,0.2477413180768709,0.5278902303778782,0.24645925181056264,0.7434825467585403,0.15668487146747329,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9854443674120343,2.2129657845840027,1.9854443674120343,1.1145947078177443,2202.06090620956,5.44094350107467,15.94,31.869,41.34,31.66,15.84,5.82,10.02,14.78,21.720000000000002,47.66,14.639999999999999,58.9,3.65202620723071,3.29942280495308,1.65189067777703,8.9558525066032,6.67902994155884,,1.72638454432232,0.0437,0.080100875,6,5,-3.0,4.3,0,0,0.0,0.0,17.0,0.0
1998,0.0030342966650452946,0.5896428571428572,0.4448900232117589,0.3015151515151515,0.3649917160872097,0.5985714285714286,0.34042605225142863,0.3378811810595008,0.49566859538038,0.6142857142857143,0.1,0.65,0.3236984619985206,0.4202130261257143,0.5797869738742857,0.6655012595885714,0.5314568892209144,0.3263257575757576,,,,,0.3378811810595008,0.2554021077230403,0.019601371445729387,0.2293362628519567,0.5207735473683268,0.27463599764176716,0.7607290267333,0.09612962723711524,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9786105734519392,2.2063199142201473,1.9786105734519392,1.115085476557896,2285.01933541864,4.78376247825665,15.473,31.294,41.16,31.64,15.959999999999999,5.88,10.08,14.82,21.68,47.54,13.26,51.8,3.12536579655862,3.29473366226966,2.98459369650589,9.081363407511812,6.47500991821289,,1.67797151546674,0.108,0.402990633,6,5,-3.0,4.9,2,0,0.0,0.0,16.0,0.0
1999,0.026497375687832926,0.5110714285714286,0.3580098247520467,0.30227272727272725,0.27015557518145755,0.5342857142857143,0.260792921919178,0.166820237895795,0.38999458571125367,0.5571428571428572,0.1,0.65,0.2411393120988477,0.380396460959589,0.619603539040411,0.6624606818975538,0.49934987452867075,0.3269886363636364,,,,,0.166820237895795,0.27783137350598414,0.04491693485277135,0.1755166000075377,0.5000769336067561,0.3055597915720354,0.7735405824364954,0.07479914631938668,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,,,,,2376.06566791596,6.05463447898158,15.21,31.024,,,,,,,,,,51.0,2.6901248581158,3.31792561673733,1.51382652723785,9.23149255212046,6.27098989486694,,1.55607575730874,1.6,0.564544562,6,5,-3.0,4.7,3,0,0.0,0.0,17.0,0.0
