obs_id,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,case_id,date_start,date_end,period_label,resolution
TUN-1990,0.135,0.37749999999999995,0.7447108269345912,0.5,0.24360541346729558,0.47000000000000003,0.5,0.0,0.12008276848801305,0.5,0.35,0.75,0.3679666801399247,0.5,0.5,0.5,0.3001624154310846,0.5,0.55,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.19846625744955526,,0.25,0.5,0.0,0.0,0.23817876047788025,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9161166501160758,2.13878758806367,1.9161166501160758,1.116209489612287,1476.43160477311,7.94981943665461,,,40.1,30.6,16.3,5.9,10.4,15.2,22.0,46.4,16.3,57.7,6.54529307282414,4.48346758219995,0.629908672190098,,5.79086017608643,,1.83945658886675,0.0,0.011291437,6,5,,,,,TUNISIA,1990-01-01,1990-12-31,1990,annual
TUN-1991,0.1350232768222713,0.37749999999999995,0.7410691529387554,0.5,0.24177293805824202,0.47000000000000003,0.5,0.0,0.21148917727819158,0.5,0.35,0.75,0.43247697486755676,0.5,0.5,0.5,0.3670101873381705,0.5,0.5666666666666667,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.22382367981975398,0.06909187604330419,0.25,0.5,0.020870601169204337,0.6741952806407644,0.24117052749631648,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9325704207771863,2.1562972985470146,1.9325704207771863,1.1157664814510904,1537.87916511306,3.90454530313198,15.935,30.375,40.42,30.82,16.16,5.86,10.3,15.1,21.96,46.699999999999996,16.52,56.5,8.19371509544085,4.01184006953312,0.959532828640878,,6.02747011184692,,1.83370852776507,0.001845,0.014368794,6,5,,,,,TUNISIA,1991-01-01,1991-12-31,1991,annual
TUN-1992,0.13505749378106993,0.37749999999999995,0.6602393894362757,0.5,0.20134094782760287,0.47000000000000003,0.5,0.0,0.1593275296830141,0.5,0.35,0.75,0.36509275578405465,0.5,0.5,0.5,0.29,0.5,0.5833333333333334,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.24688144710140728,0.0795095423505286,0.25,0.5,0.10474329492944551,0.6904309306280838,0.2387639133676082,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9490999546979244,2.1737983832926426,1.9490999546979244,1.1152831736787672,1784.81850188268,7.80572887722397,15.598,30.073,40.74,31.04,16.02,5.82,10.200000000000001,15.0,21.92,47.0,16.74,54.3,5.82434514637906,3.42920376526506,3.39272296944754,,5.75488996505737,,1.70612587759433,0.00369,0.022425345,6,5,,,,,TUNISIA,1992-01-01,1992-12-31,1992,annual
TUN-1993,0.13508027078008514,0.37749999999999995,0.6767040902089818,0.5,0.20956190971444832,0.47000000000000003,0.5,0.0,0.23525558015163978,0.5,0.35,0.75,0.33566059939127424,0.5,0.5,0.5,0.35466386633867525,0.5,0.6,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.2540009887990569,0.02007405426198973,0.25,0.5,0.05867564113347717,0.687781074474239,0.2278827032748236,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9657024865324109,2.1912890821045554,1.9657024865324109,1.1147613116011719,1649.18537309075,2.18982886145824,15.948,30.691,41.06,31.26,15.88,5.78,10.1,14.899999999999999,21.88,47.3,16.96,53.2,3.9749563191613,3.05531032810378,3.84641742685117,,5.98376989364624,,1.73211395510226,0.005535,0.025275217,6,5,,,,,TUNISIA,1993-01-01,1993-12-31,1993,annual
TUN-1994,0.13510635160895568,0.37749999999999995,0.683045437080821,0.5,0.21271954273593263,0.47000000000000003,0.5,0.0,0.30388180529383174,0.5,0.35,0.75,0.31249436132718567,0.5,0.5,0.5,0.4091060415414938,0.5,0.6166666666666667,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.24475947913522114,0.0,0.25,0.5,0.08730151990280519,0.69133150391897,0.21896355004492848,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,,,,,1733.46614673506,3.17841132209441,16.006,30.879,,,,,,,,,,54.8,4.73323063996595,4.02180300283281,2.763408718958,,6.17646980285645,,1.74212321164965,0.00738,0.029628764,6,5,,,,,TUNISIA,1994-01-01,1994-12-31,1994,annual
TUN-1995,0.1351507414693507,0.2525,0.6846827627917884,0.5,0.15101601066121886,0.3807142857142857,0.5,0.0,0.3982722435967226,0.4285714285714286,0.35,0.75,0.483630831456744,0.5,0.5,0.3928571428571429,0.48066636669567786,0.5,0.6333333333333333,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.23210067490841707,0.0,0.25,0.5,0.16701708878723853,0.7011711462775273,0.26604941662037235,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9991156971221729,2.226232850304467,1.9991156971221729,1.1136088088894707,1968.16600944373,2.35166985086541,16.348,31.755,41.7,31.7,15.6,5.7,9.9,14.7,21.8,47.9,17.4,59.1,6.24415028747146,3.77066354176973,1.5305492758972,10.193625306419266,6.42975997924805,,1.74470758582503,0.0112,0.034269045,6,5,,4.0,,,TUNISIA,1995-01-01,1995-12-31,1995,annual
TUN-1996,0.13537368941514055,0.2774999999999999,0.7625,0.5,0.20231315529242966,0.3985714285714285,0.5,0.0,0.29616421631106543,0.44285714285714284,0.35,0.75,0.403700892825795,0.5,0.5,0.41428571428571426,0.44056217617278426,0.5,0.65,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.2352867247614953,0.0072317825391998184,0.25,0.5,0.21431054195157295,0.7237064335171274,0.2523560591637336,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9922794801203632,2.2196034227033254,1.9922794801203632,1.1141024363555803,2107.40815649257,7.14608096782061,16.061,31.684,41.52,31.68,15.719999999999999,5.76,9.96,14.74,21.76,47.78,16.02,65.3,3.72514472690715,3.75531568691048,1.21680620022798,9.674704373685511,6.2878098487854,,1.86753522903203,0.0276,0.06892493,6,5,,4.1,,,TUNISIA,1996-01-01,1996-12-31,1996,annual
TUN-1997,0.13554236251517465,0.32749999999999996,0.6730742320916647,0.5,0.18251593478824502,0.4342857142857142,0.5,0.0,0.49942693771122637,0.4714285714285714,0.35,0.75,0.3795281004837257,0.5,0.5,0.4571428571428571,0.5510908885158727,0.5,0.6666666666666667,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.24498482383002929,0.017598002925890636,0.25,0.5,0.24645925181056264,0.7434825467585403,0.22624869764954303,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9854443674120343,2.2129657845840027,1.9854443674120343,1.1145947078177443,2202.06090620956,5.44094350107467,15.94,31.869,41.34,31.66,15.84,5.82,10.02,14.78,21.720000000000002,47.66,14.639999999999999,58.9,3.65202620723071,3.29942280495308,1.65189067777703,8.9558525066032,6.67902994155884,,1.72638454432232,0.0437,0.080100875,6,5,,4.3,,,TUNISIA,1997-01-01,1997-12-31,1997,annual
TUN-1998,0.13682738170721342,0.47750000000000004,0.6424022428548968,0.5,0.2415374305738417,0.5414285714285714,0.5,0.0,0.4417431057702962,0.5571428571428572,0.35,0.75,0.3236984619985206,0.5,0.5,0.5857142857142857,0.4934505196054402,0.5,0.6833333333333333,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.2554021077230403,0.021111101273822937,0.25,0.5,0.27463599764176716,0.7607290267333,0.1893525744820912,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9786105734519392,2.2063199142201473,1.9786105734519392,1.115085476557896,2285.01933541864,4.78376247825665,15.473,31.294,41.16,31.64,15.959999999999999,5.88,10.08,14.82,21.68,47.54,13.26,51.8,3.12536579655862,3.29473366226966,2.98459369650589,9.081363407511812,6.47500991821289,,1.67797151546674,0.108,0.402990633,6,5,,4.9,,,TUNISIA,1998-01-01,1998-12-31,1998,annual
TUN-1999,0.15053784190208228,0.4275,0.565175399779597,0.5,0.17106877893875733,0.5057142857142857,0.5,0.0,0.4131560574784484,0.5285714285714286,0.35,0.75,0.2411393120988477,0.5,0.5,0.5428571428571428,0.4358101506950076,0.5,0.7,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.27783137350598414,0.05146568006085864,0.25,0.5,0.3055597915720354,0.7735405824364954,0.194161310316755,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,,,,,2376.06566791596,6.05463447898158,15.21,31.024,,,,,,,,,,51.0,2.6901248581158,3.31792561673733,1.51382652723785,9.23149255212046,6.27098989486694,,1.55607575730874,1.6,0.564544562,6,5,,4.7,,,TUNISIA,1999-01-01,1999-12-31,1999,annual
