quarter,ffpi,youth_unemp,gini,gdp_pc,protest_q,repression_q,cl_score,pr_score,internet,civil_adj,sigma_structural,sigma_valve,Omega_latent_inst,T_tension_q,Omega_acc
2008-Q1,209.0,28.66,38.18,4255.05,8,3,5,7,27.53,0.0,0.20923210619815988,0.5111111111111111,0.10694085427905949,0.06666666666666667,0.0
2008-Q2,214.0,28.66,38.18,4255.05,18,10,5,7,27.53,0.0,0.2173820654483636,0.8999999999999999,0.19564385890352723,0.15,0.10384549815369584
2008-Q3,200.7,28.66,38.18,4255.05,2,5,5,7,27.53,0.05,0.19570317384282163,0.6372222222222222,0.12470641133206467,0.016666666666666666,0.16377556871477839
2008-Q4,158.0,28.66,38.18,4255.05,0,2,5,7,27.53,0.1,0.12610252184608162,0.4855555555555556,0.06122978005193074,0.0,0.18835405218029044
2009-Q1,91.3,31.15,38.18,4080.09,0,1,5,7,34.07,0.15,0.5,0.44500000000000006,0.22250000000000003,0.45,0.2992349644477156
2009-Q2,98.0,31.15,38.18,4080.09,1,1,5,7,34.07,0.05,0.5109209453952731,0.41500000000000004,0.21203219233903836,0.45833333333333337,0.397910754655697
2009-Q3,99.0,31.15,38.18,4080.09,0,1,5,7,34.07,0.05,0.5125509372453138,0.41500000000000004,0.21270863895680522,0.45,0.49514889974979376
2009-Q4,108.0,31.15,38.18,4080.09,0,2,5,7,34.07,0.1,0.5272208638956806,0.4855555555555556,0.2559950194693471,0.45,0.6119424835858074
2010-Q1,103.3,29.57,38.5,4291.86,2,1,5,7,36.8,0.05,0.46574464115631237,0.41500000000000004,0.19328402607986964,0.5811244979919681,0.6862717343101153
2010-Q2,119.0,29.57,38.5,4291.86,8,2,5,7,36.8,0.15,0.4913355132019522,0.5005555555555556,0.24594072077497722,0.631124497991968,0.7724858969709736
2010-Q3,129.0,29.57,38.5,4291.86,3,2,5,7,36.8,0.1,0.5076354317023597,0.4855555555555556,0.24648520405992355,0.5894578313253014,0.8665027234621315
2010-Q4,136.7,29.57,38.5,4291.86,13,5,5,7,36.8,0.25,0.5201863689476734,0.6972222222222222,0.36268549612740564,0.6727911646586346,1.0
2011-Q1,231.0,42.64,38.5,4420.65,528,54,5,7,39.1,0.3,1.0,1.0,1.0,1.0,1.49935555235819
