obs_id,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,Omega_latent_inst,sigma_structural,sigma_valve,Omega_acc,dT_tension,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,mepv_civviol,mepv_civwar,mepv_regciv,mepv_actotal,case_id,date_start,date_end,period_label,resolution
TUN-1990,0.0,0.36500000000000005,0.5899871803014151,0.3,0.32749359015070756,0.44000000000000006,0.32406559826157805,0.36536089114609144,0.14130707106072807,0.5,0.1,0.8,0.3679666801399247,0.41203279913078905,0.587967200869211,0.587967200869211,0.3286555598735882,0.325,,,,,0.36536089114609144,0.19846625744955526,0.0,0.2187442788265652,0.5482258976612726,0.0,0.0,0.15175240542518217,0.055009821703694284,0.3667321446912952,0.15,0.0,0.0,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,90.79572355273928,0.4930562252546212,0.5069437747453788,0.9829629131445341,0.32248140608960224,0.20755143144616714,1.0,1.9161166501160758,2.13878758806367,1.9161166501160758,1.116209489612287,1476.43160477311,7.94981943665461,,,40.1,30.6,16.3,5.9,10.4,15.2,22.0,46.4,16.3,57.7,6.54529307282414,4.48346758219995,0.629908672190098,,5.79086017608643,,1.83945658886675,0.0,0.011291437,6,5,-6.0,,0,0,0.0,0.0,23.0,0.0,TUNISIA,1990-01-01,1990-12-31,1990,annual
TUN-1991,3.9130383664785766e-05,0.36500000000000005,0.5858902970560999,0.3,0.32542558333621757,0.44000000000000006,0.3472342795056362,0.4213940231487703,0.26386131955705217,0.5,0.1,0.8,0.43247697486755676,0.4236171397528181,0.5763828602471819,0.5763828602471819,0.3797283002140148,0.325,,,,,0.4213940231487703,0.22382367981975398,0.49649621698734364,0.23438313866630445,0.5217190810233346,0.020870601169204337,0.6741952806407644,0.16443071403570472,0.05679667287353601,0.3786444858235734,0.15,0.04996798412332862,0.02316868124405813,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,90.79572355273928,0.4930562252546212,0.5069437747453788,0.9829629131445341,0.32248140608960224,0.20755143144616714,1.0,1.9325704207771863,2.1562972985470146,1.9325704207771863,1.1157664814510904,1537.87916511306,3.90454530313198,15.935,30.375,40.42,30.82,16.16,5.86,10.3,15.1,21.96,46.699999999999996,16.52,56.5,8.19371509544085,4.01184006953312,0.959532828640878,,6.02747011184692,,1.83370852776507,0.001845,0.014368794,6,5,-6.0,,0,0,0.0,0.0,28.0,0.0,TUNISIA,1991-01-01,1991-12-31,1991,annual
TUN-1992,9.576498577329033e-05,0.36500000000000005,0.49495681311581013,0.3,0.27993052406501845,0.44000000000000006,0.3700057041966589,0.39529136215645877,0.12267597610373965,0.5,0.1,0.8,0.36509275578405465,0.43500285209832945,0.5649971479016705,0.5649971479016705,0.3109988591606682,0.325,,,,,0.39529136215645877,0.24688144710140728,3.0,0.24975385033274478,0.5159106913259318,0.10474329492944551,0.6904309306280838,0.169166023920372,0.057316707909806384,0.3821113860653759,0.15,0.09297604708474722,0.022771424691022724,Stable,0.6,0.7,-0.11999999999999998,0.09999999999999998,90.79572355273928,0.4930562252546212,0.5069437747453788,0.9829629131445341,0.32248140608960224,0.20755143144616714,1.0,1.9490999546979244,2.1737983832926426,1.9490999546979244,1.1152831736787672,1784.81850188268,7.80572887722397,15.598,30.073,40.74,31.04,16.02,5.82,10.200000000000001,15.0,21.92,47.0,16.74,54.3,5.82434514637906,3.42920376526506,3.39272296944754,,5.75488996505737,,1.70612587759433,0.00369,0.022425345,6,5,-6.0,,0,0,0.0,0.0,23.0,0.0,TUNISIA,1992-01-01,1992-12-31,1992,annual
TUN-1993,0.00013409565222828886,0.4325,0.4834796014851046,0.3,0.30792275291643817,0.47000000000000003,0.4208906695640363,0.4139073145375443,0.24122639772464435,0.5,0.1,0.65,0.33566059939127424,0.46044533478201816,0.5395546652179819,0.5395546652179818,0.39970842136942214,0.325,,,,,0.4139073145375443,0.2540009887990569,0.08025675609688758,0.2841012019557245,0.482265746438386,0.05867564113347717,0.687781074474239,0.17068998211916162,0.06383001917433172,0.42553346116221147,0.15,0.13623710691724739,0.05088496536737741,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9657024865324109,2.1912890821045554,1.9657024865324109,1.1147613116011719,1649.18537309075,2.18982886145824,15.948,30.691,41.06,31.26,15.88,5.78,10.1,14.899999999999999,21.88,47.3,16.96,53.2,3.9749563191613,3.05531032810378,3.84641742685117,,5.98376989364624,,1.73211395510226,0.005535,0.025275217,6,5,-3.0,,0,0,0.0,0.0,23.0,0.0,TUNISIA,1993-01-01,1993-12-31,1993,annual
TUN-1994,0.00017771244645182962,0.4325,0.4906136167159237,0.3,0.31146795213473594,0.47000000000000003,0.33863561048485646,0.22881730337928763,0.34103705226314507,0.5,0.1,0.65,0.31249436132718567,0.41931780524242823,0.5806821947575718,0.5806821947575718,0.4615279125209402,0.325,,,,,0.22881730337928763,0.24475947913522114,0.0,0.22857903707727814,0.4795241307509843,0.08730151990280519,0.69133150391897,0.13224382661668352,0.05469673064244954,0.3646448709496636,0.15,0.16360803672219976,-0.08225505907917985,Stable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,,,,,1733.46614673506,3.17841132209441,16.006,30.879,,,,,,,,,,54.8,4.73323063996595,4.02180300283281,2.763408718958,,6.17646980285645,,1.74212321164965,0.00738,0.029628764,6,5,-3.0,,0,0,0.0,0.0,23.0,0.0,TUNISIA,1994-01-01,1994-12-31,1994,annual
TUN-1995,0.000252644151472643,0.23607142857142865,0.4924556081407619,0.3,0.21413719628035896,0.30928571428571433,0.5174045905201684,0.46620962337669347,0.4722309817124825,0.3571428571428572,0.1,0.65,0.483630831456744,0.5087022952600841,0.49129770473991585,0.38415484759705865,0.4854077208090312,0.325,,,,,0.46620962337669347,0.23210067490841707,0.0,0.3492480986011137,0.39158690713779476,0.16701708878723853,0.7011711462775273,0.2573811736053817,0.07532610842571924,0.5021740561714616,0.15,0.2081073199055548,0.17876898003531194,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9991156971221729,2.226232850304467,1.9991156971221729,1.1136088088894707,1968.16600944373,2.35166985086541,16.348,31.755,41.7,31.7,15.6,5.7,9.9,14.7,21.8,47.9,17.4,59.1,6.24415028747146,3.77066354176973,1.5305492758972,10.193625306419266,6.42975997924805,,1.74470758582503,0.0112,0.034269045,6,5,-3.0,4.0,0,0,0.0,0.0,18.0,0.0,TUNISIA,1995-01-01,1995-12-31,1995,annual
TUN-1996,0.0006261383583425133,0.27535714285714274,0.5800000000000001,0.3,0.27736550224940015,0.34142857142857136,0.49723495857666716,0.4585189399028835,0.39870663242051085,0.3857142857142856,0.1,0.65,0.403700892825795,0.49861747928833355,0.5013825207116664,0.4156682349973807,0.4560214884286535,0.325,,,,,0.4585189399028835,0.2352867247614953,3.0,0.33563359703925033,0.4859691345248102,0.21431054195157295,0.7237064335171274,0.23341379201140883,0.0739690890357874,0.4931272602385827,0.15,0.24453491908794467,-0.020169631943501243,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9922794801203632,2.2196034227033254,1.9922794801203632,1.1141024363555803,2107.40815649257,7.14608096782061,16.061,31.684,41.52,31.68,15.719999999999999,5.76,9.96,14.74,21.76,47.78,16.02,65.3,3.72514472690715,3.75531568691048,1.21680620022798,9.674704373685511,6.2878098487854,,1.86753522903203,0.0276,0.06892493,6,5,-3.0,4.1,0,0,0.0,0.0,17.0,0.0,TUNISIA,1996-01-01,1996-12-31,1996,annual
TUN-1997,0.0009124859066323957,0.35392857142857137,0.47939601110312274,0.3,0.26620604831253086,0.40571428571428564,0.4848882249083255,0.40975542853873675,0.6013426050495064,0.44285714285714284,0.1,0.65,0.3795281004837257,0.49244411245416275,0.5075558875458372,0.4646987446886943,0.5505980954482288,0.325,,,,,0.40975542853873675,0.24498482383002929,0.10254226044001243,0.32729955181311976,0.4945773486261154,0.24645925181056264,0.7434825467585403,0.2002945699599356,0.07049519712459677,0.46996798083064517,0.15,0.2719226720980073,-0.012346733668341658,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9854443674120343,2.2129657845840027,1.9854443674120343,1.1145947078177443,2202.06090620956,5.44094350107467,15.94,31.869,41.34,31.66,15.84,5.82,10.02,14.78,21.720000000000002,47.66,14.639999999999999,58.9,3.65202620723071,3.29942280495308,1.65189067777703,8.9558525066032,6.67902994155884,,1.72638454432232,0.0437,0.080100875,6,5,-3.0,4.3,0,0,0.0,0.0,17.0,0.0,TUNISIA,1997-01-01,1997-12-31,1997,annual
TUN-1998,0.0030342966650452946,0.5896428571428572,0.4448900232117589,0.3015151515151515,0.3649917160872097,0.5985714285714286,0.44988544380378487,0.3378811810595008,0.49566859538038,0.6142857142857143,0.1,0.65,0.3236984619985206,0.47494272190189246,0.5250572780981075,0.6107715638123933,0.5095650109104432,0.3263257575757576,,,,,0.3378811810595008,0.2554021077230403,3.0,0.3030762355322088,0.4866431570669131,0.27463599764176716,0.7607290267333,0.13662960211148706,0.06379614873022811,0.4253076582015207,0.15,0.2881825077811658,-0.03500278110454064,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9786105734519392,2.2063199142201473,1.9786105734519392,1.115085476557896,2285.01933541864,4.78376247825665,15.473,31.294,41.16,31.64,15.959999999999999,5.88,10.08,14.82,21.68,47.54,13.26,51.8,3.12536579655862,3.29473366226966,2.98459369650589,9.081363407511812,6.47500991821289,,1.67797151546674,0.108,0.402990633,6,5,-3.0,4.9,2,0,0.0,0.0,16.0,0.0,TUNISIA,1998-01-01,1998-12-31,1998,annual
TUN-1999,0.026497375687832926,0.5110714285714286,0.3580098247520467,0.30227272727272725,0.27015557518145755,0.5342857142857143,0.34391882168829374,0.166820237895795,0.38999458571125367,0.5571428571428572,0.1,0.65,0.2411393120988477,0.4219594108441469,0.5780405891558531,0.6208977320129959,0.4827246945748476,0.3269886363636364,,,,,0.166820237895795,0.27783137350598414,3.0,0.23146127516464995,0.46257348293582595,0.3055597915720354,0.7735405824364954,0.1055557292339595,0.050992142987888935,0.3399476199192596,0.15,0.28879935430079384,-0.10596662211549113,Stable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,,,,,2376.06566791596,6.05463447898158,15.21,31.024,,,,,,,,,,51.0,2.6901248581158,3.31792561673733,1.51382652723785,9.23149255212046,6.27098989486694,,1.55607575730874,1.6,0.564544562,6,5,-3.0,4.7,3,0,0.0,0.0,17.0,0.0,TUNISIA,1999-01-01,1999-12-31,1999,annual
